proj_id,co_id,bidamount,sbpref_act,estimate,workdays,sbnum,lbnum,sbplanh,lbplanh,y1,y2,y3,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,cat1,cat2,cat3,cat4,small,medium,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11
1,233,725116,0,656000,74,0,4,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,269,546834,0,656000,74,0,4,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,561,572527,0,656000,74,0,4,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,566,590656,0,656000,74,0,4,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11,336,4927478,0,4600000,440,0,4,6,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,344,4299027,0,4600000,440,0,4,6,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,492,4527545,0,4600000,440,0,4,6,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,99,561492,1,482000,120,3,5,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,123,467764,0,482000,120,3,5,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,267,494937,1,482000,120,3,5,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,282,527197,1,482000,120,3,5,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,306,514538,0,482000,120,3,5,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
